review,Sentiment
product is bad ,Negative 😡
"product is okay , but not great",Negative 😡
yuck the food is like shit ,Negative 😡
product is damaged ,Negative 😡
delivery is very slow ,Negative 😡
worst customer service ,Negative 😡
its not bad also it is'nt good ,Negative 😡
"Came with missing parts, unacceptable.",Negative 😡
"Defective upon arrival, very frustrating.",Negative 😡
"Not as described, very disappointed.",Negative 😡
Complete waste of money.,Negative 😡
"Packaging was terrible, but product is okay.",Negative 😡
"Barely works, extremely disappointed.",Negative 😡
"Came with missing parts, unacceptable.",Negative 😡
"Not as described, very disappointed.",Negative 😡
"Packaging was terrible, but product is okay.",Negative 😡
"Came with missing parts, unacceptable.",Negative 😡
"Barely works, extremely disappointed.",Negative 😡
"Not as described, very disappointed.",Negative 😡
Overpriced and underwhelming.,Negative 😡
"Terrible experience, never buying again.",Negative 😡
"Terrible experience, never buying again.",Negative 😡
Not worth the price.,Negative 😡
"Terrible experience, never buying again.",Negative 😡
Overpriced and underwhelming.,Negative 😡
"Broke within a few days, awful quality.",Negative 😡
"Terrible experience, never buying again.",Negative 😡
"Packaging was terrible, but product is okay.",Negative 😡
"Barely works, extremely disappointed.",Negative 😡
"Not as described, very disappointed.",Negative 😡
"Came with missing parts, unacceptable.",Negative 😡
Complete waste of money.,Negative 😡
Complete waste of money.,Negative 😡
"Defective upon arrival, very frustrating.",Negative 😡
Complete waste of money.,Negative 😡
"Not as described, very disappointed.",Negative 😡
"Broke within a few days, awful quality.",Negative 😡
"Not as described, very disappointed.",Negative 😡
"Horrible customer service, do not buy.",Negative 😡
Complete waste of money.,Negative 😡
Complete waste of money.,Negative 😡
Not as durable as I hoped.,Negative 😡
"Broke within a few days, awful quality.",Negative 😡
Regret this purchase completely.,Negative 😡
"Terrible experience, never buying again.",Negative 😡
Regret this purchase completely.,Negative 😡
Regret this purchase completely.,Negative 😡
"Not as described, very disappointed.",Negative 😡
"Horrible customer service, do not buy.",Negative 😡
Overpriced and underwhelming.,Negative 😡
"Barely works, extremely disappointed.",Negative 😡
Overpriced and underwhelming.,Negative 😡
"Horrible customer service, do not buy.",Negative 😡
"Horrible customer service, do not buy.",Negative 😡
"Packaging was terrible, but product is okay.",Negative 😡
"Packaging was terrible, but product is okay.",Negative 😡
"Terrible experience, never buying again.",Negative 😡
"Broke within a few days, awful quality.",Negative 😡
Complete waste of money.,Negative 😡
Regret this purchase completely.,Negative 😡
"Defective upon arrival, very frustrating.",Negative 😡
"Packaging was terrible, but product is okay.",Negative 😡
"Defective upon arrival, very frustrating.",Negative 😡
"Packaging was terrible, but product is okay.",Negative 😡
"Horrible customer service, do not buy.",Negative 😡
"Barely works, extremely disappointed.",Negative 😡
Complete waste of money.,Negative 😡
"Horrible customer service, do not buy.",Negative 😡
Complete waste of money.,Negative 😡
"Packaging was terrible, but product is okay.",Negative 😡
"Packaging was terrible, but product is okay.",Negative 😡
Regret this purchase completely.,Negative 😡
Regret this purchase completely.,Negative 😡
"Barely works, extremely disappointed.",Negative 😡
"Packaging was terrible, but product is okay.",Negative 😡
"Defective upon arrival, very frustrating.",Negative 😡
"Defective upon arrival, very frustrating.",Negative 😡
"Not as described, very disappointed.",Negative 😡
"Horrible customer service, do not buy.",Negative 😡
Not as durable as I hoped.,Negative 😡
"Barely works, extremely disappointed.",Negative 😡
"Not as described, very disappointed.",Negative 😡
Regret this purchase completely.,Negative 😡
"Horrible customer service, do not buy.",Negative 😡
"Broke within a few days, awful quality.",Negative 😡
Regret this purchase completely.,Negative 😡
Not as durable as I hoped.,Negative 😡
Overpriced and underwhelming.,Negative 😡
Not worth the price.,Negative 😡
"Packaging was terrible, but product is okay.",Negative 😡
"Not as described, very disappointed.",Negative 😡
Not as durable as I hoped.,Negative 😡
