review,Sentiment
"its not great ,its okay ",Neutral 😐
Satisfactory but nothing special.,Neutral 😐
Average at best.,Neutral 😐
Average at best.,Neutral 😐
Average at best.,Neutral 😐
Satisfactory but nothing special.,Neutral 😐
Average at best.,Neutral 😐
Average at best.,Neutral 😐
Average at best.,Neutral 😐
"Does what it says, no complaints.",Neutral 😐
Average at best.,Neutral 😐
Average at best.,Neutral 😐
Satisfactory but nothing special.,Neutral 😐
"Does what it says, no complaints.",Neutral 😐
Satisfactory but nothing special.,Neutral 😐
Average at best.,Neutral 😐
Average at best.,Neutral 😐
"Does what it says, no complaints.",Neutral 😐
Average at best.,Neutral 😐
"Does what it says, no complaints.",Neutral 😐
Average at best.,Neutral 😐
"Does what it says, no complaints.",Neutral 😐
Satisfactory but nothing special.,Neutral 😐
Average at best.,Neutral 😐
Satisfactory but nothing special.,Neutral 😐
Satisfactory but nothing special.,Neutral 😐
Satisfactory but nothing special.,Neutral 😐
Average at best.,Neutral 😐
Average at best.,Neutral 😐
Average at best.,Neutral 😐
"Does what it says, no complaints.",Neutral 😐
Average at best.,Neutral 😐
Average at best.,Neutral 😐
Satisfactory but nothing special.,Neutral 😐
"Does what it says, no complaints.",Neutral 😐
"Does what it says, no complaints.",Neutral 😐
Average at best.,Neutral 😐
Average at best.,Neutral 😐
"Does what it says, no complaints.",Neutral 😐
Average at best.,Neutral 😐
Satisfactory but nothing special.,Neutral 😐
"Does what it says, no complaints.",Neutral 😐
Satisfactory but nothing special.,Neutral 😐
Satisfactory but nothing special.,Neutral 😐
Satisfactory but nothing special.,Neutral 😐
"Does what it says, no complaints.",Neutral 😐
